Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,list,write,delete,read,list,write,delete,56546,9501,18744,9427,1179941324000,0,388858860000,0,511.65,98.66,935.05,65,137.48,98.66,698.13,65,11.78,1.98,3.9,1.96,245758740.93,0,80991605.59,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,53563,9054,17908,8776,1130447404000,0,382996468000,0,531.1,100.01,1006.08,69.94,142.04,100.01,747.89,69.94,11.16,1.89,3.73,1.83,235571126.51,0,79813205.16,0,100%
100%
100%
100%
read,list,write,delete,read,list,write,delete,31486,5307,10392,5204,660129508000,0,222859032000,0,826.57,472.15,743.08,636.48,516.85,472.14,523.69,636.48,6.6,1.11,2.18,1.09,138328887.32,0,46701327.29,0,99.98%
100%
99.72%
100%
